Age Group,Number of Records,InfluenzaDisease,InfluenzaDiseaseCount,Week,Year
25-64 yr,1,B (Lineage Unspecified),7,48,2017
25-64 yr,1,B (Lineage Unspecified),10,49,2017
25-64 yr,1,B (Lineage Unspecified),8,50,2017
25-64 yr,1,B (Lineage Unspecified),23,51,2017
25-64 yr,1,B (Lineage Unspecified),16,52,2017
25-64 yr,1,B (Lineage Unspecified),32,1,2018
25-64 yr,1,B (Lineage Unspecified),60,2,2018
25-64 yr,1,B (Lineage Unspecified),47,3,2018
25-64 yr,1,B (Lineage Unspecified),71,4,2018
25-64 yr,1,B (Lineage Unspecified),76,5,2018
25-64 yr,1,B (Lineage Unspecified),89,6,2018
25-64 yr,1,B (Lineage Unspecified),71,7,2018
25-64 yr,1,B (Lineage Unspecified),43,8,2018
65+ yr,1,B (Lineage Unspecified),0,40,2017
65+ yr,1,B (Lineage Unspecified),0,41,2017
65+ yr,1,B (Lineage Unspecified),0,42,2017
65+ yr,1,B (Lineage Unspecified),2,43,2017
65+ yr,1,B (Lineage Unspecified),2,44,2017
65+ yr,1,B (Lineage Unspecified),4,45,2017
65+ yr,1,B (Lineage Unspecified),5,46,2017
65+ yr,1,B (Lineage Unspecified),1,47,2017
65+ yr,1,B (Lineage Unspecified),12,48,2017
65+ yr,1,B (Lineage Unspecified),3,49,2017
65+ yr,1,B (Lineage Unspecified),7,50,2017
65+ yr,1,B (Lineage Unspecified),19,51,2017
65+ yr,1,B (Lineage Unspecified),25,52,2017
65+ yr,1,B (Lineage Unspecified),39,1,2018
65+ yr,1,B (Lineage Unspecified),30,2,2018
65+ yr,1,B (Lineage Unspecified),40,3,2018
65+ yr,1,B (Lineage Unspecified),34,4,2018
65+ yr,1,B (Lineage Unspecified),35,5,2018
65+ yr,1,B (Lineage Unspecified),29,6,2018
65+ yr,1,B (Lineage Unspecified),19,7,2018
65+ yr,1,B (Lineage Unspecified),24,8,2018
0-4 yr,1,B (Victoria Lineage),0,40,2017
0-4 yr,1,B (Victoria Lineage),0,41,2017
0-4 yr,1,B (Victoria Lineage),0,42,2017
0-4 yr,1,B (Victoria Lineage),0,43,2017
0-4 yr,1,B (Victoria Lineage),0,44,2017
0-4 yr,1,B (Victoria Lineage),0,45,2017
0-4 yr,1,B (Victoria Lineage),0,46,2017
0-4 yr,1,B (Victoria Lineage),1,47,2017
0-4 yr,1,B (Victoria Lineage),0,48,2017
0-4 yr,1,B (Victoria Lineage),3,49,2017
0-4 yr,1,B (Victoria Lineage),2,50,2017
0-4 yr,1,B (Victoria Lineage),5,51,2017
0-4 yr,1,B (Victoria Lineage),7,52,2017
0-4 yr,1,B (Victoria Lineage),10,1,2018
0-4 yr,1,B (Victoria Lineage),6,2,2018
0-4 yr,1,B (Victoria Lineage),5,3,2018
0-4 yr,1,B (Victoria Lineage),10,4,2018
0-4 yr,1,B (Victoria Lineage),11,5,2018
0-4 yr,1,B (Victoria Lineage),15,6,2018
0-4 yr,1,B (Victoria Lineage),9,7,2018
0-4 yr,1,B (Victoria Lineage),7,8,2018
5-24 yr,1,B (Victoria Lineage),0,40,2017
5-24 yr,1,B (Victoria Lineage),1,41,2017
5-24 yr,1,B (Victoria Lineage),0,42,2017
5-24 yr,1,B (Victoria Lineage),0,43,2017
5-24 yr,1,B (Victoria Lineage),2,44,2017
5-24 yr,1,B (Victoria Lineage),1,45,2017
5-24 yr,1,B (Victoria Lineage),3,46,2017
5-24 yr,1,B (Victoria Lineage),1,47,2017
5-24 yr,1,B (Victoria Lineage),6,48,2017
5-24 yr,1,B (Victoria Lineage),9,49,2017
5-24 yr,1,B (Victoria Lineage),20,50,2017
5-24 yr,1,B (Victoria Lineage),23,51,2017
5-24 yr,1,B (Victoria Lineage),11,52,2017
5-24 yr,1,B (Victoria Lineage),13,1,2018
5-24 yr,1,B (Victoria Lineage),17,2,2018
5-24 yr,1,B (Victoria Lineage),16,3,2018
5-24 yr,1,B (Victoria Lineage),25,4,2018
5-24 yr,1,B (Victoria Lineage),38,5,2018
5-24 yr,1,B (Victoria Lineage),30,6,2018
5-24 yr,1,B (Victoria Lineage),38,7,2018
5-24 yr,1,B (Victoria Lineage),20,8,2018
25-64 yr,1,B (Victoria Lineage),0,40,2017
25-64 yr,1,B (Victoria Lineage),1,41,2017
25-64 yr,1,B (Victoria Lineage),0,42,2017
